exercise,language,topic
word-count,c,memory_management
word-count,c,strings
word-count,c,structs
pangram,c,control_flow_if_else_statements
pangram,c,control_flow_loops
pangram,c,strings
gigasecond,c,dates
space-age,c,functions
meetup,c,control_flow_if_statements
meetup,c,preprocessor_x_macros_in_test
meetup,c,strings
meetup,c,structs
meetup,c,time_functions
hamming,c,arrays
hamming,c,control_flow_loops
hamming,c,strings
rna-transcription,c,control_flow_case_statements
rna-transcription,c,control_flow_loops
rna-transcription,c,strings
nucleotide-count,c,control_flow_loops_switch_if_statements
nucleotide-count,c,memory_management
nucleotide-count,c,strings
nucleotide-count,c,text_formatting
grains,c,bitwise_operations
grains,c,control_flow_loops
grains,c,performance_optimizations
leap,c,control_flow_if_else_statements
leap,c,logic
beer-song,c,control_flow_if_else_statements
